ID,CODIGO,NOME,LST-4graus,V_%area-ve,V_vegeta-a,LST_Vegeta,hidro__max,geo__max,V_Area_veg,LST,Altitude
179.000000000000000,804.000000000000000,Teixeira Dias,"1012",0.571,"50","1062",0.999903023242950,0.999890983104706,4187.459,"12","1000"
228.000000000000000,1148.000000000000000,Diamante,"1012",3.656,"50","1062",0.999807000160217,3.701869964599609,67017.663,"12","1000"
212.000000000000000,926.000000000000000,Fern�o Dias,"1008",4.418,"50","1058",15.287569999694824,1.163484692573547,22313.464,"8","1000"
250.000000000000000,1173.000000000000000,Pousada Santo Ant�nio,"1008",9.065,"60","1068",1.998846173286438,1.702951312065125,35672.482,"8","1000"
224.000000000000000,1144.000000000000000,Santa Margarida,"1012",,"50","1062",24.861343383789062,0.999795019626617,,"12","1000"
119.000000000000000,737.000000000000000,Olhos d'�gua,"1508",32.626,"70","1578",1.955541372299194,3.908494234085083,1194903.072,"8","1500"
270.000000000000000,1272.000000000000000,Alta Tens�o I,"1012",,"50","1062",0.999970972537994,1.076100826263428,,"12","1000"
220.000000000000000,1140.000000000000000,Bonsucesso,"1008",32.269,"70","1078",3.998892068862915,23.734310150146484,909621.969,"8","1000"
237.000000000000000,1159.000000000000000,Santa Cec�lia,"1008",,"50","1058",4.177305221557617,1.999014139175415,,"8","1000"
476.000000000000000,1485.000000000000000,CDI Jatob�,"1012",12.194,"60","1072",0.954610109329224,2.791712045669556,106984.886,"12","1000"
376.000000000000000,1385.000000000000000,S�o Jo�o,"1508",,"50","1558",,1.998798131942749,,"8","1500"
334.000000000000000,1339.000000000000000,Leonina,"1008",2.440,"50","1058",1.866288661956787,10.382504463195801,4209.216,"8","1000"
382.000000000000000,1391.000000000000000,Vila Madre Gertrudes I,"1008",,"50","1058",0.558513343334198,,,"8","1000"
206.000000000000000,833.000000000000000,Olaria,"1008",0.056,"50","1058",6.893761634826660,3.179776668548584,353.916,"8","1000"
101.000000000000000,718.000000000000000,Mangabeiras,"1504",40.798,"70","1574",1.218596220016479,2.840201139450073,2525214.630,"4","1500"
226.000000000000000,1146.000000000000000,Jo�o Paulo II,"1012",,"50","1062",0.487172603607178,,,"12","1000"
405.000000000000000,1414.000000000000000,Vila COPASA,"1008",0.161,"50","1058",,,15.230,"8","1000"
435.000000000000000,1444.000000000000000,Vila Nova dos Milion�rios,"1512",,"50","1562",5.873742103576660,,,"12","1500"
467.000000000000000,1476.000000000000000,Vila Tirol,"1012",,"50","1062",0.999711036682129,,,"12","1000"
142.000000000000000,766.000000000000000,Santa Helena,"1012",,"50","1062",0.999947011470795,1.980557441711426,,"12","1000"
97.000000000000000,714.000000000000000,Lind�ia,"1012",,"50","1062",3.695581912994385,1.628105401992798,,"12","1000"
180.000000000000000,805.000000000000000,Tirol,"1012",2.576,"50","1062",4.756953239440918,2.735824584960938,45211.066,"12","1000"
233.000000000000000,1155.000000000000000,T�nel de Ibirit�,"1012",,"50","1062",,0.011097674258053,,"12","1000"
103.000000000000000,720.000000000000000,Maraj�,"1012",0.501,"50","1062",,3.547315597534180,1360.390,"12","1000"
13.000000000000000,618.000000000000000,Belvedere,"1508",4.824,"50","1558",0.999683022499084,1.999974012374878,140912.915,"8","1500"
490.000000000000000,1653.000000000000000,Vila Vera Cruz II,"1008",,"50","1058",,,,"8","1000"
491.000000000000000,1652.000000000000000,Vila Vera Cruz I,"1012",,"50","1062",0.674437582492828,,,"12","1000"
222.000000000000000,1142.000000000000000,Parque S�o Jos�,"1012",,"50","1062",0.999507069587708,0.999875009059906,,"12","1000"
415.000000000000000,1424.000000000000000,Vila Hava�,"1008",,"50","1058",2.316610813140869,13.292318344116209,,"8","1000"
474.000000000000000,1483.000000000000000,Acaba Mundo,"1508",4.533,"50","1558",,,1827.699,"8","1500"
320.000000000000000,1324.000000000000000,Estrela do Oriente,"1012",20.369,"60","1072",0.999875009059906,2.088691711425781,206279.305,"12","1000"
90.000000000000000,706.000000000000000,Jatob�,"1012",,"50","1062",,,,"12","1000"
66.000000000000000,677.000000000000000,Fl�vio Marques Lisboa,"1508",15.592,"60","1568",0.999551057815552,5.009921550750732,193023.310,"8","1500"
229.000000000000000,1149.000000000000000,Miramar,"1012",1.220,"50","1062",0.999903023242950,1.999606013298035,7797.009,"12","1000"
344.000000000000000,1351.000000000000000,Marieta I,"1012",,"50","1062",6.109763622283936,0.449657469987869,,"12","1000"
341.000000000000000,1348.000000000000000,Mar�ola,"1504",6.729,"60","1564",,2.998245239257812,16712.387,"4","1500"
154.000000000000000,778.000000000000000,Santo Ant�nio,"1008",0.570,"50","1058",35.092758178710938,1.982525706291199,7450.741,"8","1000"
86.000000000000000,702.000000000000000,Jardim Am�rica,"1012",1.873,"50","1062",5.144189834594728,8.851409912109380,17375.590,"12","1000"
19.000000000000000,624.000000000000000,Cabana do Pai Tom�s,"1008",,"50","1058",1.442658543586731,3.371424436569214,,"8","1000"
437.000000000000000,1446.000000000000000,Vila Nova Gameleira II,"1012",,"50","1062",,,,"12","1000"
