year;month;tmin;tmax;tmin_norm;tmax_norm
2022;Nov ;16.75;27.79;18.9;27.7
2022;Dez;18.59677419;27.44516129;19.5;28.2
2023;Jan;18.83225806;28.33870968;20;28.7
2023;Fev;19.50714286;30.625;20.2;29.1
2023;Mar;19.50645161;30.29032258;19.8;28.4
2023;Abr;18.17;28.25333333;18.8;27.6
2023;Mai;14.92903226;26.82580645;16.6;25.7
2023;Jun;13.1;25.68;15.4;24.9
2023;Jul;14.36774194;26.62903226;15.2;24.9
2023;Ago;15.79032258;28.61290323;15.8;26.3
2023;Set;18.92666667;31.56333333;17.4;27.9
2023;Out ;20.42258065;31.46451613;18.8;28.7
2023;Nov ;20.19666667;32.48333333;18.9;27.7
2023;Dez;20.09032258;31.22258065;19.5;28.2
2024;Jan;20.02258065;30.17096774;20;28.7
2024;Fev;19.6862069;30.01034483;20.2;29.1
2024;Mar;20.29677419;30.74516129;19.8;28.4
2024;Abr;18.84;29.4;18.8;27.6
2024;Mai;17.09032258;29.03548387;16.6;25.7
2024;Jun;14.46666667;27.3;15.4;24.9
2024;Jul;14.26129032;27.3483871;15.2;24.9
2024;Ago;15.62903226;28.90967742;15.8;26.3
2024;Set;18.95;32.46;17.4;27.9
2024;Out ;19.5483871;30.4483871;18.8;28.7
2024;Nov ;18.92333333;28.01333333;18.9;27.7
2024;Dez;19.5483871;28.67419355;19.5;28.2
