data,mes,ano,temp_min,temp_media,temp_max,amplitude_termica,orvalho,umidade_relativa_min,umidade_relativa_media,velocidade_vento_media,velocidade_vento_max,pressao_atm_media,precipitacao_total,obitos_feminino,obitos_masculino,obitos_infantil,obitos_total
07feb2014,2,2014,20.200001,24.6,30.200001,10,14.6,34,55.799999,3,9.1000004,920.09998,0,23,24,,47
14feb2014,2,2014,20.200001,25.299999,32.400002,12.200001,15.3,30,55.799999,1.7,7.5,916.40002,0,15,25,,40
04feb2014,2,2014,20.200001,25.9,31.9,11.699999,13.9,28,49.299999,2.5,10,918.5,0,21,19,,40
25feb2014,2,2014,20.299999,24.6,30.4,10.1,16,39,60.099998,3.0999999,9.1999998,918.79999,0,22,26,,48
17feb2014,2,2014,20.6,23,29.5,8.8999996,17,43,70.099998,2.2,12.7,917,2.8,16,22,,38
15feb2014,2,2014,20.6,25.299999,30.4,9.7999992,16,33,58.5,2,8.6000004,917.09998,0,15,28,,43
28feb2014,2,2014,20.6,24.700001,32.700001,12.1,16.1,31,60.299999,2.3,17.9,915.70001,0,13,16,,29
23feb2014,2,2014,20.700001,24.799999,30.5,9.7999992,16.1,37,60.5,3.5,10.6,919.29999,0,18,16,,34
03feb2014,2,2014,20.9,25.4,31,10.1,14.2,31,51.5,2.9000001,10.8,917.90002,0,18,25,,43
05feb2014,2,2014,21,25.1,29.9,8.8999996,15.1,38,55.200001,3.0999999,10,919.20001,0,13,26,,39
16feb2014,2,2014,21.299999,23.799999,28.799999,7.5,16.4,45,64.199997,2.4000001,8.5,917.5,0,14,34,,48
25mar2014,3,2014,16.799999,21.200001,27.200001,10.400002,16.1,53,73.800003,2.2,8.1999998,920.59998,3.5999999,25,18,,43
26mar2014,3,2014,16.9,21.799999,26.1,9.2000008,16.299999,55,71.5,2.5,9.5,920.59998,0,13,21,1,35
24mar2014,3,2014,17.9,19.799999,22,4.1000004,16.6,70,82,1.8,7.6999998,920.09998,5,17,18,,35
07mar2014,3,2014,17.9,20.9,26.9,9,17.700001,60,83,1.7,10.7,917.5,21.4,16,15,,31
09mar2014,3,2014,18,22.1,29.6,11.6,17.700001,48,77.800003,1.3,11.4,917.70001,23.799999,14,21,,35
27mar2014,3,2014,18.200001,22.5,27.1,8.8999996,16,50,67.699997,2.2,7.5,919.79999,0,14,19,,33
02mar2014,3,2014,18.4,22.5,29.9,11.5,17.200001,44,74,2,12.5,916.59998,15,16,20,,36
01mar2014,3,2014,18.6,21.200001,28.299999,9.6999989,17.799999,49,82.400002,1.5,10,916.79999,6.5999999,21,37,,58
28mar2014,3,2014,18.700001,23.5,29.200001,10.5,16.1,42,64.599998,2.3,8.6999998,918.70001,0,11,23,,34
31mar2014,3,2014,18.9,22.6,29.299999,10.4,17.799999,47,75.5,1.2,6.0999999,919.79999,.2,14,27,,41
08mar2014,3,2014,19,20.5,24.799999,5.7999992,18.6,68,89.199997,.89999998,4.3000002,917,5.8000002,15,16,,31
16mar2014,3,2014,19.1,23.5,28.9,9.7999992,14.8,33,59.5,2.9000001,9.8000002,918.90002,0,9,30,,39
17mar2014,3,2014,19.200001,24,30.200001,11,14.8,32,58.200001,2.4000001,8.8000002,918.79999,0,19,22,,41
29mar2014,3,2014,19.4,22.799999,28.5,9.1000004,16.700001,48,69.5,2.5999999,8.6999998,918.5,0,17,21,,38
10mar2014,3,2014,19.4,23.6,29.6,10.200001,17,39,68.300003,2.2,8.3999996,918.70001,0,20,30,,50
12mar2014,3,2014,19.5,24.1,29.5,10,16.200001,41,62,2.5999999,7.3000002,920,0,12,29,,41
04mar2014,3,2014,19.5,23.299999,29.200001,9.7000008,15.8,43,64,3.2,10,919,.60000002,14,20,,34
19mar2014,3,2014,19.5,23.9,30,10.5,15.4,37,60.099998,2.3,7.1999998,917.79999,0,21,27,,48
15mar2014,3,2014,19.6,23.4,28.200001,8.6000004,16.1,49,64,2.8,8.5,919.40002,0,20,17,,37
23mar2014,3,2014,19.700001,22.6,27.200001,7.5,18.299999,62,77.199997,2.5,10.2,918,0,21,26,,47
20mar2014,3,2014,19.799999,24.700001,31.299999,11.5,16.200001,38,60.400002,1.8,7,916.59998,0,20,16,,36
22mar2014,3,2014,19.799999,23.5,30.200001,10.400002,19.4,53,78.300003,1.2,8.8000002,918,16.799999,14,29,,43
05mar2014,3,2014,19.799999,23.799999,30.4,10.6,16.4,42,64.699997,2.7,8.1000004,919.09998,0,14,21,,35
18mar2014,3,2014,19.9,24,29.299999,9.3999996,15.3,35,59.5,2.2,7.5,918.79999,0,15,17,,32
03mar2014,3,2014,19.9,22.4,26.799999,6.8999996,16.700001,56,71.199997,2.7,8.1000004,917.79999,1.6,13,20,,33
30mar2014,3,2014,20,22.200001,27.4,7.3999996,17.4,56,75.199997,2,9.6999998,919.09998,0,15,20,,35
14mar2014,3,2014,20.1,23.9,28.700001,8.6000004,16.1,42,63,3,8.5,919.70001,0,14,31,,45
11mar2014,3,2014,20.200001,24,29.6,9.3999996,16.9,41,66.400002,2.7,9.5,918.5,0,23,26,,49
13mar2014,3,2014,20.5,24.299999,29,8.5,16.799999,44,64.199997,2.5999999,8.3000002,920.70001,0,23,21,,44
21mar2014,3,2014,20.700001,25.799999,32.599998,11.899998,17.200001,38,60.700001,1.4,8,917.09998,0,9,26,,35
06mar2014,3,2014,20.700001,23.4,28.700001,8,16.799999,49,66.699997,2.3,10.2,917.79999,0,18,20,,38
29apr2014,4,2014,10.7,17.299999,22.9,12.2,9,37,59.599998,2.0999999,8.6999998,922.70001,0,22,22,,44
30apr2014,4,2014,11.6,17.299999,23.200001,11.6,8.8000002,40,58.5,2.0999999,8.1000004,920.59998,0,18,28,,46
27apr2014,4,2014,12.6,19.5,25.4,12.799999,11.8,38,62.5,1.9,8,920.09998,0,14,17,,31
26apr2014,4,2014,14.1,19.9,26.700001,12.6,13.9,38,70.699997,1.4,6.9000001,918,14.4,21,19,1,41
28apr2014,4,2014,15,18.700001,23.200001,8.2000008,10.6,39,60.200001,2.7,9.8000002,922.40002,0,27,25,,52
06apr2014,4,2014,15.5,22.4,29.799999,14.299999,15,33,65.900002,1.7,7.4000001,920.59998,0,18,22,,40
25apr2014,4,2014,15.6,19.6,25.4,9.7999992,16,51,80.900002,1.5,7,917.29999,16,14,26,,40
07apr2014,4,2014,16.5,23.200001,30.6,14.1,14.2,26,61,1.6,6.5999999,918.59998,0,26,14,,40
16apr2014,4,2014,17.700001,22.4,27.5,9.7999992,17.299999,54,73.699997,1.8,7.6999998,918.5,0,12,27,,39
04apr2014,4,2014,17.799999,21.9,27.700001,9.9000015,17.6,55,77.300003,1.9,8.1000004,919.59998,47.200001,18,15,,33
18apr2014,4,2014,17.9,22.700001,29.1,11.200001,17.299999,46,73.400002,1.1,5.5999999,917.70001,18.4,19,21,,40
20apr2014,4,2014,18.4,22.9,30.1,11.700001,18.4,45,77.599998,1,9.6999998,918.90002,1.6,22,20,,42
21apr2014,4,2014,18.5,23.299999,28.799999,10.299999,18.1,48,73.800003,1.4,6.9000001,918.5,1,21,18,,39
03apr2014,4,2014,18.700001,22,30,11.299999,18.299999,46,81.300003,1.8,9.8000002,917.70001,66,23,25,,48
08apr2014,4,2014,18.9,24,30.799999,11.9,14.9,32,59.099998,1.5,7.1999998,917.29999,0,18,19,,37
23apr2014,4,2014,18.9,21.799999,26.5,7.6000004,18.299999,56,81.300003,1.1,8.1999998,918.70001,15,17,15,,32
05apr2014,4,2014,19,22.799999,27.5,8.5,16.299999,49,67.599998,3,11.3,921.20001,0,26,16,,42
09apr2014,4,2014,19,24.700001,30.799999,11.799999,16,34,60.799999,1.1,6.4000001,917,0,17,23,,40
19apr2014,4,2014,19.299999,23.6,29.4,10.1,17.9,47,72,1.2,5.9000001,918.70001,0,18,21,,39
24apr2014,4,2014,19.6,20.200001,23.200001,3.6000004,18.5,77,90.099998,.80000001,7.0999999,918.40002,15.2,24,25,,49
17apr2014,4,2014,19.6,22.4,29,9.3999996,18,49,77.400002,1.6,6.5999999,918.5,.60000002,15,30,,45
10apr2014,4,2014,19.700001,23.799999,31,11.299999,17.5,42,68.800003,1,7.9000001,917.20001,0,17,32,,49
