data;hora;temperatura_maxima
09/01/2014;1600;30.4
09/01/2014;1700;30.3
09/01/2014;1800;30.3
09/01/2014;1900;29
09/01/2014;2000;28.3
09/01/2014;2100;25.9
09/01/2014;2200;24.9
09/01/2014;2300;23.3
10/01/2014;0;22.3
10/01/2014;100;21.9
10/01/2014;200;21.9
10/01/2014;300;21.7
10/01/2014;400;21.4
10/01/2014;500;21
10/01/2014;600;20.7
10/01/2014;700;20.6
10/01/2014;800;20.5
10/01/2014;900;20.4
10/01/2014;1000;22.2
10/01/2014;1100;23.9
10/01/2014;1200;25.3
10/01/2014;1300;25.5
10/01/2014;1400;26.3
10/01/2014;1500;27.4
10/01/2014;1600;29
10/01/2014;1700;28.8
10/01/2014;1800;29.7
10/01/2014;1900;30
10/01/2014;2000;29.1
10/01/2014;2100;27.6
10/01/2014;2200;26.1
10/01/2014;2300;25.1
11/01/2014;0;24.6
11/01/2014;100;24.1
11/01/2014;200;23.3
11/01/2014;300;22.9
11/01/2014;400;22.4
11/01/2014;500;22.1
11/01/2014;600;21.7
11/01/2014;700;21.3
11/01/2014;800;21.2
11/01/2014;900;20.9
11/01/2014;1000;22.9
11/01/2014;1100;24.2
11/01/2014;1200;25.8
11/01/2014;1300;26.5
11/01/2014;1400;27.9
11/01/2014;1500;29.5
11/01/2014;1600;29.7
11/01/2014;1700;30.7
11/01/2014;1800;30.6
11/01/2014;1900;30.6
11/01/2014;2000;29.9
11/01/2014;2100;29.1
11/01/2014;2200;27.8
11/01/2014;2300;26.7
12/01/2014;0;25.6
12/01/2014;100;24.7
12/01/2014;200;23.9
12/01/2014;300;23.6
12/01/2014;400;23
12/01/2014;500;22.5
12/01/2014;600;22.2
12/01/2014;700;21.5
12/01/2014;800;21.4
12/01/2014;900;21.4
12/01/2014;1000;22.7
12/01/2014;1100;24
12/01/2014;1200;25.9
12/01/2014;1300;26.9
12/01/2014;1400;29
12/01/2014;1500;29.6
12/01/2014;1600;30.4
12/01/2014;1700;31.1
12/01/2014;1800;31
12/01/2014;1900;30.7
12/01/2014;2000;30.1
12/01/2014;2100;29.2
12/01/2014;2200;27.8
12/01/2014;2300;26.3
13/01/2014;0;25.5
13/01/2014;100;24.9
13/01/2014;200;24.2
13/01/2014;300;23.8
13/01/2014;400;23.2
13/01/2014;500;22.5
13/01/2014;600;22
13/01/2014;700;21.9
13/01/2014;800;21.4
13/01/2014;900;21.3
13/01/2014;1000;22.9
13/01/2014;1100;25
13/01/2014;1200;25.7
13/01/2014;1300;26.9
13/01/2014;1400;29.2
13/01/2014;1500;30
13/01/2014;1600;31
13/01/2014;1700;31.9
13/01/2014;1800;31.7
13/01/2014;1900;30.8
13/01/2014;2000;30.5
13/01/2014;2100;30.1
13/01/2014;2200;28.5
13/01/2014;2300;27.2
14/01/2014;0;26.2
14/01/2014;100;25
14/01/2014;200;24.2
14/01/2014;300;23.7
14/01/2014;400;23.4
14/01/2014;500;22.7
14/01/2014;600;22.2
14/01/2014;700;21.9
14/01/2014;800;21.7
14/01/2014;900;21.2
14/01/2014;1000;22
14/01/2014;1100;23.6
14/01/2014;1200;25.2
14/01/2014;1300;27
14/01/2014;1400;28.3
14/01/2014;1500;29.3
14/01/2014;1600;30.3
14/01/2014;1700;30.5
14/01/2014;1800;31.1
14/01/2014;1900;30.9
14/01/2014;2000;30.2
14/01/2014;2100;29.4
14/01/2014;2200;27.9
14/01/2014;2300;26.6
15/01/2014;0;25.8
15/01/2014;100;24.9
15/01/2014;200;24.2
15/01/2014;300;23.6
15/01/2014;400;23
15/01/2014;500;22.8
15/01/2014;600;22
15/01/2014;700;21.4
15/01/2014;800;21.1
15/01/2014;900;20.9
15/01/2014;1000;22.6
15/01/2014;1100;24.6
15/01/2014;1200;25.9
15/01/2014;1300;27.5
15/01/2014;1400;29.3
15/01/2014;1500;30
15/01/2014;1600;31.2
15/01/2014;1700;32.4
15/01/2014;1800;32.2
15/01/2014;1900;32
15/01/2014;2000;30.5
15/01/2014;2100;30.7
15/01/2014;2200;28.6
15/01/2014;2300;27.2
16/01/2014;0;26.7
16/01/2014;100;25.8
16/01/2014;200;24.7
16/01/2014;300;23.8
16/01/2014;400;23.4
16/01/2014;500;23
16/01/2014;600;22.6
16/01/2014;700;22.3
16/01/2014;800;21.9
16/01/2014;900;21.6
16/01/2014;1000;23.5
16/01/2014;1100;24.6
16/01/2014;1200;25.7
16/01/2014;1300;27.2
16/01/2014;1400;28.9
16/01/2014;1500;29.9
16/01/2014;1600;31.1
16/01/2014;1700;32.2
16/01/2014;1800;32.9
16/01/2014;1900;32.5
16/01/2014;2000;31.9
16/01/2014;2100;30.5
16/01/2014;2200;28.4
16/01/2014;2300;27.6
17/01/2014;0;27.3
17/01/2014;100;26.8
17/01/2014;200;26
17/01/2014;300;25.4
17/01/2014;400;24.7
17/01/2014;500;24.5
17/01/2014;600;24.5
17/01/2014;700;24.1
17/01/2014;800;23.7
17/01/2014;900;23.2
17/01/2014;1000;23.6
17/01/2014;1100;25.2
17/01/2014;1200;26.8
17/01/2014;1300;27.8
17/01/2014;1400;28.8
17/01/2014;1500;30.7
17/01/2014;1600;31.2
17/01/2014;1700;30.7
17/01/2014;1800;27.1
17/01/2014;1900;21.9
17/01/2014;2000;22.1
17/01/2014;2100;21.2
17/01/2014;2200;19.7
17/01/2014;2300;19.4
18/01/2014;0;19
18/01/2014;100;18.7
18/01/2014;200;18.9
18/01/2014;300;19.3
18/01/2014;400;19.4
18/01/2014;500;18.7
18/01/2014;600;19.2
18/01/2014;700;18.8
18/01/2014;800;18.7
18/01/2014;900;18.2
18/01/2014;1000;19.2
18/01/2014;1100;21
18/01/2014;1200;23.7
18/01/2014;1300;24.9
18/01/2014;1400;26.3
18/01/2014;1500;27.6
18/01/2014;1600;27.4
18/01/2014;1700;26.5
18/01/2014;1800;24.1
18/01/2014;1900;21.2
18/01/2014;2000;21.2
18/01/2014;2100;18.3
18/01/2014;2200;18.2
18/01/2014;2300;18.5
19/01/2014;0;18.4
19/01/2014;100;18.2
19/01/2014;200;18.6
19/01/2014;300;18.7
19/01/2014;400;18.7
19/01/2014;500;18.6
19/01/2014;600;18.6
19/01/2014;700;18.8
19/01/2014;800;18.9
19/01/2014;900;18.5
19/01/2014;1000;19.1
19/01/2014;1100;20.7
19/01/2014;1200;22.8
19/01/2014;1300;24.5
19/01/2014;1400;25.4
19/01/2014;1500;27
19/01/2014;1600;27.4
19/01/2014;1700;29.2
19/01/2014;1800;29.3
19/01/2014;1900;29.4
19/01/2014;2000;27.3
19/01/2014;2100;22.7
19/01/2014;2200;22.9
19/01/2014;2300;21.2
20/01/2014;0;21.4
20/01/2014;100;21.3
20/01/2014;200;21.3
20/01/2014;300;21
20/01/2014;400;20.7
20/01/2014;500;20.5
20/01/2014;600;20.1
20/01/2014;700;19.5
20/01/2014;800;19.6
20/01/2014;900;20
20/01/2014;1000;22
20/01/2014;1100;23.9
20/01/2014;1200;25.3
20/01/2014;1300;27.2
20/01/2014;1400;27.9
20/01/2014;1500;28.8
20/01/2014;1600;30
20/01/2014;1700;29.9
20/01/2014;1800;28
20/01/2014;1900;21.9
20/01/2014;2000;20.1
20/01/2014;2100;20
20/01/2014;2200;20.1
20/01/2014;2300;19.7
21/01/2014;0;19.7
21/01/2014;100;19.7
21/01/2014;200;20
21/01/2014;300;19.1
21/01/2014;400;19.9
21/01/2014;500;20
21/01/2014;600;19.7
21/01/2014;700;19.6
21/01/2014;800;18.8
21/01/2014;900;19.8
21/01/2014;1000;20.9
21/01/2014;1100;21.7
21/01/2014;1200;23.5
21/01/2014;1300;25.8
21/01/2014;1400;26.3
21/01/2014;1500;26.8
21/01/2014;1600;28.4
21/01/2014;1700;28.4
21/01/2014;1800;29.4
21/01/2014;1900;28.7
21/01/2014;2000;27.7
21/01/2014;2100;26.9
21/01/2014;2200;25.6
21/01/2014;2300;25
22/01/2014;0;24.1
22/01/2014;100;23.1
22/01/2014;200;21.8
22/01/2014;300;21.6
22/01/2014;400;20.7
22/01/2014;500;20.1
22/01/2014;600;19.7
22/01/2014;700;19.6
22/01/2014;800;19.4
22/01/2014;900;18.9
22/01/2014;1000;22.3
22/01/2014;1100;23.9
22/01/2014;1200;25.7
22/01/2014;1300;26.3
22/01/2014;1400;28.3
22/01/2014;1500;28.7
22/01/2014;1600;29.6
22/01/2014;1700;29.5
22/01/2014;1800;30.8
22/01/2014;1900;30.3
22/01/2014;2000;30.6
